Accident_Date,Accident_Time,ID,Severity,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Stop,Traffic_Calming,Traffic_Signal,Day_or_Night
2022-02-08,16:12:00,A-5173739,2,33.669145,-112.060949,33.669397,-112.100741,2.2880000000000003,Slow traffic on Pima Fwy W - Loop 101 W - AZ-101 Loop W from Cave Creek Rd/N 28th St/Exit 28 (Pima Fwy/AZ-101) to I-17/Exit 23 (Pima Fwy/Agua Fria Fwy/AZ-101) due to accident.,AZ-101 Loop W,Phoenix,Maricopa,AZ,85024,US,US/Mountain,KDVT,72.0,72.0,12.0,28.42,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-03-09,08:13:00,A-5074237,2,33.383896,-111.967688,33.403158000000005,-111.967663,1.331,Slow traffic on Maricopa Fwy W - US-60 W - I-10 W - Pearl Harbor Memorial Hwy from Baseline Rd/Exit 155 (I-10) to Broadway Rd/52nd St/Exit 153B (I-10) due to accident.,I-10 W,Tempe,Maricopa,AZ,85282,US,US/Mountain,KPHX,47.0,43.0,33.0,28.76,10.0,E,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-08-19,14:09:00,A-532291,2,33.465790000000005,-112.038177,,,0.0,Center lane blocked due to crash on AZ-51 Southbound near exit 2 Mccdowell Rd.,E McDowell Rd,Phoenix,Maricopa,AZ,85006,US,US/Mountain,KPHX,95.0,95.0,38.0,28.56,10.0,NNW,6.0,0.0,Mostly Cloudy,False,False,True,False,True,False,False,False,False,True,Day
2022-03-21,07:42:00,A-669801,3,33.525288,-112.112389,,,0.0,Two lanes blocked due to crash on I-17 Southbound near Bethany Home Rd.,N Black Canyon Hwy,Phoenix,Maricopa,AZ,85017,US,US/Mountain,KPHX,57.0,57.0,20.0,28.67,10.0,NW,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-03-23,14:39:00,A-4942417,2,33.462086,-112.019653,33.462103000000006,-112.037294,1.017,Stationary traffic on AZ-202 Loop W - Red Mountain Fwy W from exit [1B] to exit [1A] due to accident.,AZ-202 Loop W,Phoenix,Maricopa,AZ,85008,US,US/Mountain,KPHX,78.0,78.0,7.0,28.92,10.0,VAR,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-01-21,05:17:00,A-738631,2,33.431129,-112.077271,,,0.0,Accident on Mohave St at 3rd Ave.,S 3rd Ave,Phoenix,Maricopa,AZ,85003,US,US/Mountain,KPHX,50.0,50.0,50.0,28.86,10.0,SE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Night
2022-05-04,06:51:00,A-628830,2,33.667656,-112.215363,,,0.0,Left lane blocked due to crash on AZ-101-LOOP Eastbound near 67th Ave.,Agua Fria Fwy,Glendale,Maricopa,AZ,85308,US,US/Mountain,KDVT,61.0,61.0,27.0,28.23,10.0,ESE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-12-04,09:44:00,A-4575050,2,33.436394,-112.037874,33.433007,-112.03783,0.234,Incident on I-10 EB near I-17 Left shoulder closed.,I-10 E,Phoenix,Maricopa,AZ,85034,US,US/Mountain,KPHX,59.0,59.0,93.0,28.9,10.0,ESE,5.0,0.01,Cloudy,False,False,False,False,False,False,False,False,False,False,Day
2022-02-27,18:39:00,A-4251223,2,33.537386655647566,-112.2589767,33.53755665564757,-112.2589867,0.012,Incident on N 93RD AVE near W GLENDALE AVE Expect delays.,N Zanjero Blvd,Glendale,Maricopa,AZ,85305,US,US/Mountain,KGEU,64.0,64.0,22.0,28.98,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,Night
2022-03-18,12:48:00,A-4215407,2,33.553044,-112.110029,33.553103,-112.109611,0.024,Incident on NORTHERN AVE near HOUSE 2400 Expect delays.,N 24th Ave,Phoenix,Maricopa,AZ,85021,US,US/Mountain,KDVT,73.0,73.0,11.0,28.4,10.0,W,5.0,0.0,Fair,False,False,False,False,False,False,False,True,False,False,Day
