State,Measure Names,Year of Year,Measure Values
Alaska,Recreational boating fatalities,2014,11
Alaska,Rail fatalities,2014,0
Alaska,Highway Fatalities,2014,73
Alaska,Transit Fatalities,2013,0
Alaska,Recreational boating fatalities,2013,10
Alaska,Rail fatalities,2013,0
Alaska,Highway Fatalities,2013,51
Alaska,Transit Fatalities,2012,1
Alaska,Recreational boating fatalities,2012,22
Alaska,Rail fatalities,2012,0
Alaska,Highway Fatalities,2012,59
Alaska,Transit Fatalities,2011,0
Alaska,Recreational boating fatalities,2011,15
Alaska,Rail fatalities,2011,0
Alaska,Highway Fatalities,2011,72
Alaska,Transit Fatalities,2010,0
Alaska,Recreational boating fatalities,2010,11
Alaska,Rail fatalities,2010,0
Alaska,Highway Fatalities,2010,56
Arizona,Transit Fatalities,2023,4
Arizona,Recreational boating fatalities,2023,
Arizona,Rail fatalities,2023,29
Arizona,Highway Fatalities,2023,
Arizona,Transit Fatalities,2022,6
Arizona,Recreational boating fatalities,2022,13
Arizona,Rail fatalities,2022,15
Arizona,Highway Fatalities,2022,
Arizona,Transit Fatalities,2021,11
Arizona,Recreational boating fatalities,2021,13
Arizona,Rail fatalities,2021,27
Arizona,Highway Fatalities,2021,1180
Arizona,Transit Fatalities,2020,4
Arizona,Recreational boating fatalities,2020,10
Arizona,Rail fatalities,2020,18
Arizona,Highway Fatalities,2020,1053
Arizona,Transit Fatalities,2019,6
Arizona,Recreational boating fatalities,2019,7
Arizona,Rail fatalities,2019,16
Arizona,Highway Fatalities,2019,979
Arizona,Transit Fatalities,2018,5
Arizona,Recreational boating fatalities,2018,11
Arizona,Rail fatalities,2018,14
Arizona,Highway Fatalities,2018,1011
Arizona,Transit Fatalities,2017,8
Arizona,Recreational boating fatalities,2017,13
Arizona,Rail fatalities,2017,15
Arizona,Highway Fatalities,2017,998
Arizona,Transit Fatalities,2016,6
Arizona,Recreational boating fatalities,2016,5
Arizona,Rail fatalities,2016,16
Arizona,Highway Fatalities,2016,952
Arizona,Transit Fatalities,2015,7
Arizona,Recreational boating fatalities,2015,6
Arizona,Rail fatalities,2015,8
Arizona,Highway Fatalities,2015,897
Arizona,Transit Fatalities,2014,1
Arizona,Recreational boating fatalities,2014,7
Arizona,Rail fatalities,2014,8
Arizona,Highway Fatalities,2014,773
Arizona,Transit Fatalities,2013,6
Arizona,Recreational boating fatalities,2013,9
Arizona,Rail fatalities,2013,7
Arizona,Highway Fatalities,2013,849
Arizona,Transit Fatalities,2012,3
Arizona,Recreational boating fatalities,2012,4
Arizona,Rail fatalities,2012,10
Arizona,Highway Fatalities,2012,821
Arizona,Transit Fatalities,2011,1
Arizona,Recreational boating fatalities,2011,11
Arizona,Rail fatalities,2011,9
Arizona,Highway Fatalities,2011,826
Arizona,Transit Fatalities,2010,4
Arizona,Recreational boating fatalities,2010,6
Arizona,Rail fatalities,2010,16
Arizona,Highway Fatalities,2010,759
Arkansas,Transit Fatalities,2023,0
Arkansas,Recreational boating fatalities,2023,
Arkansas,Rail fatalities,2023,16
Arkansas,Highway Fatalities,2023,
Arkansas,Transit Fatalities,2022,0
Arkansas,Recreational boating fatalities,2022,15
Arkansas,Rail fatalities,2022,12
Arkansas,Highway Fatalities,2022,
Arkansas,Transit Fatalities,2021,0
Arkansas,Recreational boating fatalities,2021,11
Arkansas,Rail fatalities,2021,13
Arkansas,Highway Fatalities,2021,693
Arkansas,Transit Fatalities,2020,0
Arkansas,Recreational boating fatalities,2020,13
Arkansas,Rail fatalities,2020,5
Arkansas,Highway Fatalities,2020,651
Arkansas,Transit Fatalities,2019,0
Arkansas,Recreational boating fatalities,2019,10
Arkansas,Rail fatalities,2019,7
Arkansas,Highway Fatalities,2019,511
Arkansas,Transit Fatalities,2018,0
Arkansas,Recreational boating fatalities,2018,7
Arkansas,Rail fatalities,2018,13
Arkansas,Highway Fatalities,2018,520
Arkansas,Transit Fatalities,2017,1
Arkansas,Recreational boating fatalities,2017,11
Arkansas,Rail fatalities,2017,14
