State,Measure Names,Year of Year,Measure Values
Hawaii,Rail fatalities,2011,0
Hawaii,Highway Fatalities,2011,100
Hawaii,Transit Fatalities,2010,1
Hawaii,Recreational boating fatalities,2010,4
Hawaii,Rail fatalities,2010,0
Hawaii,Highway Fatalities,2010,113
Idaho,Transit Fatalities,2023,0
Idaho,Recreational boating fatalities,2023,
Idaho,Rail fatalities,2023,9
Idaho,Highway Fatalities,2023,
Idaho,Transit Fatalities,2022,0
Idaho,Recreational boating fatalities,2022,15
Idaho,Rail fatalities,2022,2
Idaho,Highway Fatalities,2022,
Idaho,Transit Fatalities,2021,0
Idaho,Recreational boating fatalities,2021,10
Idaho,Rail fatalities,2021,2
Idaho,Highway Fatalities,2021,271
Idaho,Transit Fatalities,2020,0
Idaho,Recreational boating fatalities,2020,5
Idaho,Rail fatalities,2020,4
Idaho,Highway Fatalities,2020,214
Idaho,Transit Fatalities,2019,0
Idaho,Recreational boating fatalities,2019,8
Idaho,Rail fatalities,2019,2
Idaho,Highway Fatalities,2019,224
Idaho,Transit Fatalities,2018,0
Idaho,Recreational boating fatalities,2018,10
Idaho,Rail fatalities,2018,4
Idaho,Highway Fatalities,2018,234
Idaho,Transit Fatalities,2017,0
Idaho,Recreational boating fatalities,2017,16
Idaho,Rail fatalities,2017,4
Idaho,Highway Fatalities,2017,245
Idaho,Transit Fatalities,2016,0
Idaho,Recreational boating fatalities,2016,10
Idaho,Rail fatalities,2016,1
Idaho,Highway Fatalities,2016,253
Idaho,Transit Fatalities,2015,0
Idaho,Recreational boating fatalities,2015,13
Idaho,Rail fatalities,2015,4
Idaho,Highway Fatalities,2015,216
Idaho,Transit Fatalities,2014,0
Idaho,Recreational boating fatalities,2014,10
Idaho,Rail fatalities,2014,2
Idaho,Highway Fatalities,2014,186
Idaho,Transit Fatalities,2013,0
Idaho,Recreational boating fatalities,2013,5
Idaho,Rail fatalities,2013,6
Idaho,Highway Fatalities,2013,214
Idaho,Transit Fatalities,2012,0
Idaho,Recreational boating fatalities,2012,11
Idaho,Rail fatalities,2012,3
Idaho,Highway Fatalities,2012,184
Idaho,Transit Fatalities,2011,0
Idaho,Recreational boating fatalities,2011,12
Idaho,Rail fatalities,2011,5
Idaho,Highway Fatalities,2011,167
Idaho,Transit Fatalities,2010,0
Idaho,Recreational boating fatalities,2010,13
Idaho,Rail fatalities,2010,1
Idaho,Highway Fatalities,2010,209
Illinois,Transit Fatalities,2023,17
Illinois,Recreational boating fatalities,2023,
Illinois,Rail fatalities,2023,57
Illinois,Highway Fatalities,2023,
Illinois,Transit Fatalities,2022,20
Illinois,Recreational boating fatalities,2022,5
Illinois,Rail fatalities,2022,65
Illinois,Highway Fatalities,2022,
Illinois,Transit Fatalities,2021,24
Illinois,Recreational boating fatalities,2021,15
Illinois,Rail fatalities,2021,38
Illinois,Highway Fatalities,2021,1334
Illinois,Transit Fatalities,2020,18
Illinois,Recreational boating fatalities,2020,19
Illinois,Rail fatalities,2020,31
Illinois,Highway Fatalities,2020,1193
Illinois,Transit Fatalities,2019,21
Illinois,Recreational boating fatalities,2019,18
Illinois,Rail fatalities,2019,48
Illinois,Highway Fatalities,2019,1009
Illinois,Transit Fatalities,2018,22
Illinois,Recreational boating fatalities,2018,17
Illinois,Rail fatalities,2018,40
Illinois,Highway Fatalities,2018,1035
Illinois,Transit Fatalities,2017,25
Illinois,Recreational boating fatalities,2017,15
Illinois,Rail fatalities,2017,42
Illinois,Highway Fatalities,2017,1090
Illinois,Transit Fatalities,2016,17
Illinois,Recreational boating fatalities,2016,9
Illinois,Rail fatalities,2016,38
Illinois,Highway Fatalities,2016,1078
Illinois,Transit Fatalities,2015,14
Illinois,Recreational boating fatalities,2015,11
Illinois,Rail fatalities,2015,39
Illinois,Highway Fatalities,2015,998
Illinois,Transit Fatalities,2014,13
Illinois,Recreational boating fatalities,2014,22
Illinois,Rail fatalities,2014,48
Illinois,Highway Fatalities,2014,924
Illinois,Transit Fatalities,2013,15
Illinois,Recreational boating fatalities,2013,9
Illinois,Rail fatalities,2013,34
Illinois,Highway Fatalities,2013,991
Illinois,Transit Fatalities,2012,18
Illinois,Recreational boating fatalities,2012,17
Illinois,Rail fatalities,2012,40
Illinois,Highway Fatalities,2012,956
Illinois,Transit Fatalities,2011,15
Illinois,Recreational boating fatalities,2011,23
Illinois,Rail fatalities,2011,48
Illinois,Highway Fatalities,2011,918
Illinois,Transit Fatalities,2010,11
Illinois,Recreational boating fatalities,2010,15
Illinois,Rail fatalities,2010,61
Illinois,Highway Fatalities,2010,927
Indiana,Transit Fatalities,2023,1
Indiana,Recreational boating fatalities,2023,
Indiana,Rail fatalities,2023,30
Indiana,Highway Fatalities,2023,
Indiana,Transit Fatalities,2022,0
Indiana,Recreational boating fatalities,2022,11
Indiana,Rail fatalities,2022,31
Indiana,Highway Fatalities,2022,
Indiana,Transit Fatalities,2021,1
Indiana,Recreational boating fatalities,2021,7
Indiana,Rail fatalities,2021,24
Indiana,Highway Fatalities,2021,932
Indiana,Transit Fatalities,2020,2
Indiana,Recreational boating fatalities,2020,8
Indiana,Rail fatalities,2020,17
Indiana,Highway Fatalities,2020,897
Indiana,Transit Fatalities,2019,3
Indiana,Recreational boating fatalities,2019,16
Indiana,Rail fatalities,2019,21
Indiana,Highway Fatalities,2019,810
Indiana,Transit Fatalities,2018,2
Indiana,Recreational boating fatalities,2018,8
Indiana,Rail fatalities,2018,25
Indiana,Highway Fatalities,2018,860
Indiana,Transit Fatalities,2017,0
Indiana,Recreational boating fatalities,2017,8
Indiana,Rail fatalities,2017,21
Indiana,Highway Fatalities,2017,916
Indiana,Transit Fatalities,2016,1
Indiana,Recreational boating fatalities,2016,7
Indiana,Rail fatalities,2016,19
Indiana,Highway Fatalities,2016,829
Indiana,Transit Fatalities,2015,0
Indiana,Recreational boating fatalities,2015,5
Indiana,Rail fatalities,2015,24
Indiana,Highway Fatalities,2015,817
Indiana,Transit Fatalities,2014,1
Indiana,Recreational boating fatalities,2014,9
Indiana,Rail fatalities,2014,19
Indiana,Highway Fatalities,2014,745
Indiana,Transit Fatalities,2013,1
Indiana,Recreational boating fatalities,2013,5
Indiana,Rail fatalities,2013,30
Indiana,Highway Fatalities,2013,784
Indiana,Transit Fatalities,2012,1
Indiana,Recreational boating fatalities,2012,2
Indiana,Rail fatalities,2012,25
Indiana,Highway Fatalities,2012,781
Indiana,Transit Fatalities,2011,0
Indiana,Recreational boating fatalities,2011,10
Indiana,Rail fatalities,2011,23
Indiana,Highway Fatalities,2011,751
Indiana,Transit Fatalities,2010,0
Indiana,Recreational boating fatalities,2010,8
Indiana,Rail fatalities,2010,16
Indiana,Highway Fatalities,2010,754
Iowa,Transit Fatalities,2023,0
Iowa,Recreational boating fatalities,2023,
Iowa,Rail fatalities,2023,4
Iowa,Highway Fatalities,2023,
Iowa,Transit Fatalities,2022,0
Iowa,Recreational boating fatalities,2022,4
Iowa,Rail fatalities,2022,13
Iowa,Highway Fatalities,2022,
Iowa,Transit Fatalities,2021,0
Iowa,Recreational boating fatalities,2021,3
Iowa,Rail fatalities,2021,12
Iowa,Highway Fatalities,2021,356
Iowa,Transit Fatalities,2020,0
Iowa,Recreational boating fatalities,2020,8
Iowa,Rail fatalities,2020,2
Iowa,Highway Fatalities,2020,343
Iowa,Transit Fatalities,2019,0
Iowa,Recreational boating fatalities,2019,5
Iowa,Rail fatalities,2019,12
Iowa,Highway Fatalities,2019,336
Iowa,Transit Fatalities,2018,0
Iowa,Recreational boating fatalities,2018,8
Iowa,Rail fatalities,2018,8
Iowa,Highway Fatalities,2018,319
Iowa,Transit Fatalities,2017,0
Iowa,Recreational boating fatalities,2017,4
Iowa,Rail fatalities,2017,11
Iowa,Highway Fatalities,2017,330
Iowa,Transit Fatalities,2016,0
Iowa,Recreational boating fatalities,2016,7
Iowa,Rail fatalities,2016,7
Iowa,Highway Fatalities,2016,402
Iowa,Transit Fatalities,2015,0
Iowa,Recreational boating fatalities,2015,3
Iowa,Rail fatalities,2015,6
Iowa,Highway Fatalities,2015,320
Iowa,Transit Fatalities,2014,0
Iowa,Recreational boating fatalities,2014,7
Iowa,Rail fatalities,2014,9
Iowa,Highway Fatalities,2014,322
Iowa,Transit Fatalities,2013,0
Iowa,Recreational boating fatalities,2013,3
Iowa,Rail fatalities,2013,14
Iowa,Highway Fatalities,2013,317
Iowa,Transit Fatalities,2012,0
Iowa,Recreational boating fatalities,2012,11
Iowa,Rail fatalities,2012,7
Iowa,Highway Fatalities,2012,365
Iowa,Transit Fatalities,2011,0
Iowa,Recreational boating fatalities,2011,4
Iowa,Rail fatalities,2011,11
Iowa,Highway Fatalities,2011,360
Iowa,Transit Fatalities,2010,0
Iowa,Recreational boating fatalities,2010,6
Iowa,Rail fatalities,2010,5
Iowa,Highway Fatalities,2010,390
Kansas,Transit Fatalities,2023,0
Kansas,Recreational boating fatalities,2023,
Kansas,Rail fatalities,2023,25
Kansas,Highway Fatalities,2023,
Kansas,Transit Fatalities,2022,0
Kansas,Recreational boating fatalities,2022,1
Kansas,Rail fatalities,2022,11
Kansas,Highway Fatalities,2022,
Kansas,Transit Fatalities,2021,0
Kansas,Recreational boating fatalities,2021,4
Kansas,Rail fatalities,2021,17
Kansas,Highway Fatalities,2021,424
Kansas,Transit Fatalities,2020,0
Kansas,Recreational boating fatalities,2020,8
Kansas,Rail fatalities,2020,15
Kansas,Highway Fatalities,2020,426
Kansas,Transit Fatalities,2019,0
Kansas,Recreational boating fatalities,2019,2
Kansas,Rail fatalities,2019,9
Kansas,Highway Fatalities,2019,410
Kansas,Transit Fatalities,2018,0
Kansas,Recreational boating fatalities,2018,2
Kansas,Rail fatalities,2018,15
Kansas,Highway Fatalities,2018,405
Kansas,Transit Fatalities,2017,0
Kansas,Recreational boating fatalities,2017,2
Kansas,Rail fatalities,2017,15
Kansas,Highway Fatalities,2017,461
Kansas,Transit Fatalities,2016,0
Kansas,Recreational boating fatalities,2016,7
Kansas,Rail fatalities,2016,7
Kansas,Highway Fatalities,2016,429
Kansas,Transit Fatalities,2015,0
Kansas,Recreational boating fatalities,2015,2
Kansas,Rail fatalities,2015,8
Kansas,Highway Fatalities,2015,355
Kansas,Transit Fatalities,2014,0
Kansas,Recreational boating fatalities,2014,6
Kansas,Rail fatalities,2014,16
Kansas,Highway Fatalities,2014,385
Kansas,Transit Fatalities,2013,0
Kansas,Recreational boating fatalities,2013,5
Kansas,Rail fatalities,2013,7
Kansas,Highway Fatalities,2013,350
Kansas,Transit Fatalities,2012,0
Kansas,Recreational boating fatalities,2012,2
Kansas,Rail fatalities,2012,10
Kansas,Highway Fatalities,2012,405
Kansas,Transit Fatalities,2011,0
Kansas,Recreational boating fatalities,2011,7
Kansas,Rail fatalities,2011,19
Kansas,Highway Fatalities,2011,386
Kansas,Transit Fatalities,2010,0
Kansas,Recreational boating fatalities,2010,6
Kansas,Rail fatalities,2010,11
Kansas,Highway Fatalities,2010,431
Kentucky,Transit Fatalities,2023,1
Kentucky,Recreational boating fatalities,2023,
Kentucky,Rail fatalities,2023,15
Kentucky,Highway Fatalities,2023,
Kentucky,Transit Fatalities,2022,2
Kentucky,Recreational boating fatalities,2022,4
Kentucky,Rail fatalities,2022,7
Kentucky,Highway Fatalities,2022,
Kentucky,Transit Fatalities,2021,1
Kentucky,Recreational boating fatalities,2021,17
Kentucky,Rail fatalities,2021,10
Kentucky,Highway Fatalities,2021,806
Kentucky,Transit Fatalities,2020,0
Kentucky,Recreational boating fatalities,2020,9
Kentucky,Rail fatalities,2020,13
Kentucky,Highway Fatalities,2020,780
Kentucky,Transit Fatalities,2019,3
Kentucky,Recreational boating fatalities,2019,9
Kentucky,Rail fatalities,2019,13
Kentucky,Highway Fatalities,2019,732
Kentucky,Transit Fatalities,2018,1
Kentucky,Recreational boating fatalities,2018,13
Kentucky,Rail fatalities,2018,12
Kentucky,Highway Fatalities,2018,724
Kentucky,Transit Fatalities,2017,0
Kentucky,Recreational boating fatalities,2017,13
Kentucky,Rail fatalities,2017,9
Kentucky,Highway Fatalities,2017,782
Kentucky,Transit Fatalities,2016,1
Kentucky,Recreational boating fatalities,2016,8
Kentucky,Rail fatalities,2016,13
Kentucky,Highway Fatalities,2016,834
Kentucky,Transit Fatalities,2015,1
Kentucky,Recreational boating fatalities,2015,20
Kentucky,Rail fatalities,2015,16
Kentucky,Highway Fatalities,2015,761
Kentucky,Transit Fatalities,2014,1
Kentucky,Recreational boating fatalities,2014,9
Kentucky,Rail fatalities,2014,16
Kentucky,Highway Fatalities,2014,672
Kentucky,Transit Fatalities,2013,0
Kentucky,Recreational boating fatalities,2013,5
Kentucky,Rail fatalities,2013,15
Kentucky,Highway Fatalities,2013,638
Kentucky,Transit Fatalities,2012,2
Kentucky,Recreational boating fatalities,2012,8
Kentucky,Rail fatalities,2012,17
Kentucky,Highway Fatalities,2012,746
Kentucky,Transit Fatalities,2011,0
Kentucky,Recreational boating fatalities,2011,10
Kentucky,Rail fatalities,2011,21
Kentucky,Highway Fatalities,2011,720
Kentucky,Transit Fatalities,2010,3
Kentucky,Recreational boating fatalities,2010,14
Kentucky,Rail fatalities,2010,15
Kentucky,Highway Fatalities,2010,760
Louisiana,Transit Fatalities,2023,1
Louisiana,Recreational boating fatalities,2023,
Louisiana,Rail fatalities,2023,13
Louisiana,Highway Fatalities,2023,
Louisiana,Transit Fatalities,2022,0
Louisiana,Recreational boating fatalities,2022,29
Louisiana,Rail fatalities,2022,11
Louisiana,Highway Fatalities,2022,
Louisiana,Transit Fatalities,2021,2
Louisiana,Recreational boating fatalities,2021,27
Louisiana,Rail fatalities,2021,18
Louisiana,Highway Fatalities,2021,972
Louisiana,Transit Fatalities,2020,1
Louisiana,Recreational boating fatalities,2020,24
Louisiana,Rail fatalities,2020,11
Louisiana,Highway Fatalities,2020,828
Louisiana,Transit Fatalities,2019,0
Louisiana,Recreational boating fatalities,2019,20
Louisiana,Rail fatalities,2019,12
Louisiana,Highway Fatalities,2019,727
Louisiana,Transit Fatalities,2018,2
Louisiana,Recreational boating fatalities,2018,19
Louisiana,Rail fatalities,2018,15
Louisiana,Highway Fatalities,2018,771
Louisiana,Transit Fatalities,2017,1
Louisiana,Recreational boating fatalities,2017,19
Louisiana,Rail fatalities,2017,13
Louisiana,Highway Fatalities,2017,770
Louisiana,Transit Fatalities,2016,0
Louisiana,Recreational boating fatalities,2016,24
Louisiana,Rail fatalities,2016,20
Louisiana,Highway Fatalities,2016,757
Louisiana,Transit Fatalities,2015,0
Louisiana,Recreational boating fatalities,2015,22
Louisiana,Rail fatalities,2015,19
Louisiana,Highway Fatalities,2015,752
Louisiana,Transit Fatalities,2014,0
Louisiana,Recreational boating fatalities,2014,18
Louisiana,Rail fatalities,2014,20
Louisiana,Highway Fatalities,2014,740
Louisiana,Transit Fatalities,2013,0
Louisiana,Recreational boating fatalities,2013,15
Louisiana,Rail fatalities,2013,13
Louisiana,Highway Fatalities,2013,703
Louisiana,Transit Fatalities,2012,0
Louisiana,Recreational boating fatalities,2012,25
Louisiana,Rail fatalities,2012,14
Louisiana,Highway Fatalities,2012,723
Louisiana,Transit Fatalities,2011,2
Louisiana,Recreational boating fatalities,2011,36
Louisiana,Rail fatalities,2011,12
Louisiana,Highway Fatalities,2011,680
Louisiana,Transit Fatalities,2010,0
Louisiana,Recreational boating fatalities,2010,21
Louisiana,Rail fatalities,2010,25
Louisiana,Highway Fatalities,2010,721
Maine,Transit Fatalities,2023,0
Maine,Recreational boating fatalities,2023,
Maine,Rail fatalities,2023,0
Maine,Highway Fatalities,2023,
Maine,Transit Fatalities,2022,0
Maine,Recreational boating fatalities,2022,9
Maine,Rail fatalities,2022,3
Maine,Highway Fatalities,2022,
Maine,Transit Fatalities,2021,0
Maine,Recreational boating fatalities,2021,4
Maine,Rail fatalities,2021,1
Maine,Highway Fatalities,2021,153
Maine,Transit Fatalities,2020,0
Maine,Recreational boating fatalities,2020,11
Maine,Rail fatalities,2020,3
Maine,Highway Fatalities,2020,164
Maine,Transit Fatalities,2019,0
Maine,Recreational boating fatalities,2019,4
Maine,Rail fatalities,2019,1
Maine,Highway Fatalities,2019,157
Maine,Transit Fatalities,2018,0
Maine,Recreational boating fatalities,2018,4
Maine,Rail fatalities,2018,1
Maine,Highway Fatalities,2018,136
Maine,Transit Fatalities,2017,0
Maine,Recreational boating fatalities,2017,13
Maine,Rail fatalities,2017,0
Maine,Highway Fatalities,2017,173
Maine,Transit Fatalities,2016,0
Maine,Recreational boating fatalities,2016,9
Maine,Rail fatalities,2016,0
Maine,Highway Fatalities,2016,160
Maine,Transit Fatalities,2015,0
Maine,Recreational boating fatalities,2015,8
Maine,Rail fatalities,2015,0
Maine,Highway Fatalities,2015,156
Maine,Transit Fatalities,2014,0
Maine,Recreational boating fatalities,2014,5
Maine,Rail fatalities,2014,3
Maine,Highway Fatalities,2014,131
Maine,Transit Fatalities,2013,0
Maine,Recreational boating fatalities,2013,4
Maine,Rail fatalities,2013,1
Maine,Highway Fatalities,2013,144
Maine,Transit Fatalities,2012,0
Maine,Recreational boating fatalities,2012,6
Maine,Rail fatalities,2012,1
Maine,Highway Fatalities,2012,164
Maine,Transit Fatalities,2011,0
Maine,Recreational boating fatalities,2011,12
Maine,Rail fatalities,2011,1
Maine,Highway Fatalities,2011,136
Maine,Transit Fatalities,2010,0
Maine,Recreational boating fatalities,2010,8
Maine,Rail fatalities,2010,0
Maine,Highway Fatalities,2010,161
Maryland,Transit Fatalities,2023,5
Maryland,Recreational boating fatalities,2023,
Maryland,Rail fatalities,2023,8
Maryland,Highway Fatalities,2023,
Maryland,Transit Fatalities,2022,8
Maryland,Recreational boating fatalities,2022,11
Maryland,Rail fatalities,2022,8
Maryland,Highway Fatalities,2022,
Maryland,Transit Fatalities,2021,2
Maryland,Recreational boating fatalities,2021,6
Maryland,Rail fatalities,2021,6
Maryland,Highway Fatalities,2021,561
Maryland,Transit Fatalities,2020,8
Maryland,Recreational boating fatalities,2020,7
Maryland,Rail fatalities,2020,13
Maryland,Highway Fatalities,2020,573
Maryland,Transit Fatalities,2019,4
Maryland,Recreational boating fatalities,2019,16
Maryland,Rail fatalities,2019,8
Maryland,Highway Fatalities,2019,535
Maryland,Transit Fatalities,2018,5
Maryland,Recreational boating fatalities,2018,16
Maryland,Rail fatalities,2018,8
Maryland,Highway Fatalities,2018,512
Maryland,Transit Fatalities,2017,6
Maryland,Recreational boating fatalities,2017,6
Maryland,Rail fatalities,2017,13
Maryland,Highway Fatalities,2017,558
Maryland,Transit Fatalities,2016,11
Maryland,Recreational boating fatalities,2016,16
Maryland,Rail fatalities,2016,15
Maryland,Highway Fatalities,2016,522
Maryland,Transit Fatalities,2015,2
Maryland,Recreational boating fatalities,2015,21
Maryland,Rail fatalities,2015,10
Maryland,Highway Fatalities,2015,520
Maryland,Transit Fatalities,2014,4
Maryland,Recreational boating fatalities,2014,12
Maryland,Rail fatalities,2014,10
Maryland,Highway Fatalities,2014,442
Maryland,Transit Fatalities,2013,2
Maryland,Recreational boating fatalities,2013,14
Maryland,Rail fatalities,2013,10
Maryland,Highway Fatalities,2013,465
Maryland,Transit Fatalities,2012,3
Maryland,Recreational boating fatalities,2012,11
Maryland,Rail fatalities,2012,5
Maryland,Highway Fatalities,2012,511
Maryland,Transit Fatalities,2011,4
Maryland,Recreational boating fatalities,2011,19
Maryland,Rail fatalities,2011,14
Maryland,Highway Fatalities,2011,485
Maryland,Transit Fatalities,2010,0
Maryland,Recreational boating fatalities,2010,9
Maryland,Rail fatalities,2010,18
Maryland,Highway Fatalities,2010,496
Massachusetts,Transit Fatalities,2023,3
Massachusetts,Recreational boating fatalities,2023,
Massachusetts,Rail fatalities,2023,14
Massachusetts,Highway Fatalities,2023,
Massachusetts,Transit Fatalities,2022,6
Massachusetts,Recreational boating fatalities,2022,5
Massachusetts,Rail fatalities,2022,11
Massachusetts,Highway Fatalities,2022,
Massachusetts,Transit Fatalities,2021,9
Massachusetts,Recreational boating fatalities,2021,6
Massachusetts,Rail fatalities,2021,6
Massachusetts,Highway Fatalities,2021,417
Massachusetts,Transit Fatalities,2020,9
Massachusetts,Recreational boating fatalities,2020,8
Massachusetts,Rail fatalities,2020,10
Massachusetts,Highway Fatalities,2020,343
Massachusetts,Transit Fatalities,2019,8
Massachusetts,Recreational boating fatalities,2019,5
Massachusetts,Rail fatalities,2019,7
Massachusetts,Highway Fatalities,2019,336
Massachusetts,Transit Fatalities,2018,6
Massachusetts,Recreational boating fatalities,2018,10
Massachusetts,Rail fatalities,2018,15
Massachusetts,Highway Fatalities,2018,355
Massachusetts,Transit Fatalities,2017,6
Massachusetts,Recreational boating fatalities,2017,10
Massachusetts,Rail fatalities,2017,17
Massachusetts,Highway Fatalities,2017,347
Massachusetts,Transit Fatalities,2016,4
Massachusetts,Recreational boating fatalities,2016,15
Massachusetts,Rail fatalities,2016,14
Massachusetts,Highway Fatalities,2016,387
Massachusetts,Transit Fatalities,2015,7
Massachusetts,Recreational boating fatalities,2015,5
Massachusetts,Rail fatalities,2015,5
Massachusetts,Highway Fatalities,2015,344
Massachusetts,Transit Fatalities,2014,6
Massachusetts,Recreational boating fatalities,2014,6
Massachusetts,Rail fatalities,2014,8
Massachusetts,Highway Fatalities,2014,354
Massachusetts,Transit Fatalities,2013,13
Massachusetts,Recreational boating fatalities,2013,12
Massachusetts,Rail fatalities,2013,7
Massachusetts,Highway Fatalities,2013,351
Massachusetts,Transit Fatalities,2012,6
Massachusetts,Recreational boating fatalities,2012,17
Massachusetts,Rail fatalities,2012,6
Massachusetts,Highway Fatalities,2012,383
Massachusetts,Transit Fatalities,2011,3
Massachusetts,Recreational boating fatalities,2011,9
Massachusetts,Rail fatalities,2011,6
Massachusetts,Highway Fatalities,2011,374
Massachusetts,Transit Fatalities,2010,9
Massachusetts,Recreational boating fatalities,2010,16
Massachusetts,Rail fatalities,2010,7
Massachusetts,Highway Fatalities,2010,347
Michigan,Transit Fatalities,2023,4
Michigan,Recreational boating fatalities,2023,
Michigan,Rail fatalities,2023,6
Michigan,Highway Fatalities,2023,
Michigan,Transit Fatalities,2022,2
Michigan,Recreational boating fatalities,2022,17
Michigan,Rail fatalities,2022,14
Michigan,Highway Fatalities,2022,
Michigan,Transit Fatalities,2021,4
Michigan,Recreational boating fatalities,2021,21
Michigan,Rail fatalities,2021,14
Michigan,Highway Fatalities,2021,1136
Michigan,Transit Fatalities,2020,6
Michigan,Recreational boating fatalities,2020,31
Michigan,Rail fatalities,2020,3
Michigan,Highway Fatalities,2020,1086
Michigan,Transit Fatalities,2019,4
Michigan,Recreational boating fatalities,2019,22
Michigan,Rail fatalities,2019,11
Michigan,Highway Fatalities,2019,986
Michigan,Transit Fatalities,2018,2
Michigan,Recreational boating fatalities,2018,22
Michigan,Rail fatalities,2018,6
Michigan,Highway Fatalities,2018,977
Michigan,Transit Fatalities,2017,2
Michigan,Recreational boating fatalities,2017,20
Michigan,Rail fatalities,2017,17
Michigan,Highway Fatalities,2017,1031
Michigan,Transit Fatalities,2016,4
Michigan,Recreational boating fatalities,2016,38
Michigan,Rail fatalities,2016,15
Michigan,Highway Fatalities,2016,1065
Michigan,Transit Fatalities,2015,3
Michigan,Recreational boating fatalities,2015,24
Michigan,Rail fatalities,2015,6
Michigan,Highway Fatalities,2015,967
Michigan,Transit Fatalities,2014,4
Michigan,Recreational boating fatalities,2014,19
Michigan,Rail fatalities,2014,15
Michigan,Highway Fatalities,2014,901
Michigan,Transit Fatalities,2013,4
Michigan,Recreational boating fatalities,2013,21
Michigan,Rail fatalities,2013,9
Michigan,Highway Fatalities,2013,947
Michigan,Transit Fatalities,2012,2
Michigan,Recreational boating fatalities,2012,16
Michigan,Rail fatalities,2012,12
Michigan,Highway Fatalities,2012,940
Michigan,Transit Fatalities,2011,4
Michigan,Recreational boating fatalities,2011,26
Michigan,Rail fatalities,2011,12
Michigan,Highway Fatalities,2011,889
Michigan,Transit Fatalities,2010,3
Michigan,Recreational boating fatalities,2010,27
Michigan,Rail fatalities,2010,15
Michigan,Highway Fatalities,2010,942
Minnesota,Transit Fatalities,2023,2
Minnesota,Recreational boating fatalities,2023,
Minnesota,Rail fatalities,2023,6
Minnesota,Highway Fatalities,2023,
Minnesota,Transit Fatalities,2022,8
Minnesota,Recreational boating fatalities,2022,15
Minnesota,Rail fatalities,2022,6
Minnesota,Highway Fatalities,2022,
Minnesota,Transit Fatalities,2021,3
Minnesota,Recreational boating fatalities,2021,18
Minnesota,Rail fatalities,2021,10
Minnesota,Highway Fatalities,2021,488
Minnesota,Transit Fatalities,2020,5
Minnesota,Recreational boating fatalities,2020,16
Minnesota,Rail fatalities,2020,4
Minnesota,Highway Fatalities,2020,394
Minnesota,Transit Fatalities,2019,4
Minnesota,Recreational boating fatalities,2019,10
Minnesota,Rail fatalities,2019,9
Minnesota,Highway Fatalities,2019,364
Minnesota,Transit Fatalities,2018,5
Minnesota,Recreational boating fatalities,2018,14
Minnesota,Rail fatalities,2018,12
Minnesota,Highway Fatalities,2018,381
Minnesota,Transit Fatalities,2017,3
Minnesota,Recreational boating fatalities,2017,14
Minnesota,Rail fatalities,2017,6
Minnesota,Highway Fatalities,2017,358
Minnesota,Transit Fatalities,2016,2
Minnesota,Recreational boating fatalities,2016,17
Minnesota,Rail fatalities,2016,11
Minnesota,Highway Fatalities,2016,392
Minnesota,Transit Fatalities,2015,5
Minnesota,Recreational boating fatalities,2015,18
Minnesota,Rail fatalities,2015,8
Minnesota,Highway Fatalities,2015,411
Minnesota,Transit Fatalities,2014,4
Minnesota,Recreational boating fatalities,2014,14
Minnesota,Rail fatalities,2014,15
Minnesota,Highway Fatalities,2014,361
Minnesota,Transit Fatalities,2013,6
Minnesota,Recreational boating fatalities,2013,12
Minnesota,Rail fatalities,2013,11
Minnesota,Highway Fatalities,2013,387
Minnesota,Transit Fatalities,2012,1
Minnesota,Recreational boating fatalities,2012,15
Minnesota,Rail fatalities,2012,15
Minnesota,Highway Fatalities,2012,395
Minnesota,Transit Fatalities,2011,1
Minnesota,Recreational boating fatalities,2011,16
Minnesota,Rail fatalities,2011,9
Minnesota,Highway Fatalities,2011,368
Minnesota,Transit Fatalities,2010,1
Minnesota,Recreational boating fatalities,2010,12
Minnesota,Rail fatalities,2010,8
Minnesota,Highway Fatalities,2010,411
Mississippi,Transit Fatalities,2023,0
Mississippi,Recreational boating fatalities,2023,
Mississippi,Rail fatalities,2023,10
Mississippi,Highway Fatalities,2023,
Mississippi,Transit Fatalities,2022,0
Mississippi,Recreational boating fatalities,2022,2
Mississippi,Rail fatalities,2022,8
Mississippi,Highway Fatalities,2022,
Mississippi,Transit Fatalities,2021,1
Mississippi,Recreational boating fatalities,2021,4
Mississippi,Rail fatalities,2021,8
Mississippi,Highway Fatalities,2021,772
Mississippi,Transit Fatalities,2020,0
Mississippi,Recreational boating fatalities,2020,6
Mississippi,Rail fatalities,2020,14
Mississippi,Highway Fatalities,2020,748
Mississippi,Transit Fatalities,2019,0
Mississippi,Recreational boating fatalities,2019,5
Mississippi,Rail fatalities,2019,13
Mississippi,Highway Fatalities,2019,642
Mississippi,Transit Fatalities,2018,0
Mississippi,Recreational boating fatalities,2018,11
Mississippi,Rail fatalities,2018,11
Mississippi,Highway Fatalities,2018,663
Mississippi,Transit Fatalities,2017,0
Mississippi,Recreational boating fatalities,2017,6
Mississippi,Rail fatalities,2017,15
Mississippi,Highway Fatalities,2017,685
Mississippi,Transit Fatalities,2016,0
Mississippi,Recreational boating fatalities,2016,11
Mississippi,Rail fatalities,2016,11
Mississippi,Highway Fatalities,2016,687
Mississippi,Transit Fatalities,2015,0
Mississippi,Recreational boating fatalities,2015,10
Mississippi,Rail fatalities,2015,6
Mississippi,Highway Fatalities,2015,677
